id	verdict	claim	detail
X1-bodyRoot-loaded	PASS	the sans face the rendered <body> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"Inter Variable": 2009px vs absent-font control 1725.91px (document.fonts.check said true, which is not evidence)
X1-bodyRoot-painted	PASS	the rendered <body> is painted in that face and not in a fallback behind it	applied 2009px vs requested 2009px; resolved stack "\"Inter Variable\", Inter, -apple-system, BlinkMacSystemFont, \"Segoe UI\", system-ui, \"Helvetica Neue\", sans-serif"
X1-emptyStateHeading-loaded	PASS	the sans face the rendered <h2> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"Inter Variable": 2043px vs absent-font control 1808.09px (document.fonts.check said true, which is not evidence)
X1-emptyStateHeading-painted	PASS	the rendered <h2> is painted in that face and not in a fallback behind it	applied 2043px vs requested 2043px; resolved stack "\"Inter Variable\", Inter, -apple-system, BlinkMacSystemFont, \"Segoe UI\", system-ui, \"Helvetica Neue\", sans-serif"
X1-prose-loaded	PASS	the sans face the rendered <p> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"Inter Variable": 2009px vs absent-font control 1725.91px (document.fonts.check said true, which is not evidence)
X1-prose-painted	PASS	the rendered <p> is painted in that face and not in a fallback behind it	applied 2009px vs requested 2009px; resolved stack "\"Inter Variable\", Inter, -apple-system, BlinkMacSystemFont, \"Segoe UI\", system-ui, \"Helvetica Neue\", sans-serif"
X1-button-loaded	PASS	the sans face the rendered <button> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"Inter Variable": 2009px vs absent-font control 1725.91px (document.fonts.check said true, which is not evidence)
X1-button-painted	PASS	the rendered <button> is painted in that face and not in a fallback behind it	applied 2009px vs requested 2009px; resolved stack "\"Inter Variable\", Inter, -apple-system, BlinkMacSystemFont, \"Segoe UI\", system-ui, \"Helvetica Neue\", sans-serif"
X1-composer-loaded	PASS	the sans face the rendered <textarea> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"Inter Variable": 2009px vs absent-font control 1725.91px (document.fonts.check said true, which is not evidence)
X1-composer-painted	PASS	the rendered <textarea> is painted in that face and not in a fallback behind it	applied 2009px vs requested 2009px; resolved stack "\"Inter Variable\", Inter, -apple-system, BlinkMacSystemFont, \"Segoe UI\", system-ui, \"Helvetica Neue\", sans-serif"
X1-inlineCode-loaded	PASS	the mono face the rendered <code> asks for is a face the engine has — WIDTH CONTROL, never document.fonts.check	"JetBrains Mono Variable": 2356px vs absent-font control 1725.91px (document.fonts.check said true, which is not evidence)
