id	step	verdict	assertion	detail
C1	unprobed floor	PASS	an unprobed model claims nothing and offers no capability-gated control	chip="Capabilities unknown" imageAffordances=0
C2	capability truth	PASS	the vision flag the UI branches on equals the endpoint's real vision support	report.vision=true endpoint=true
C3	vision	PASS	a model with vision offers an image affordance	3 image affordance(s) present: button#attach-image"Attach an image or a file Image or file", button#"Attach an image", input[type=file]#attachment-picker-with-images"image/png,image/jpeg,image/webp,image/gif,.txt,.md,.markdown"
C4	context	PASS	the meter shows the endpoint's real window, and no other endpoint's	meter says: About 0 of 200,000 tokens
C5	context	PASS	the meter warns BEFORE the turn is sent, for a draft that will not fit	About 220,005 of 200,000 tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room
C5b	context	PASS	the meter counts a staged text file and warns on it	About 220,005 of 200,000 tokens — this turn is larger than the window. Sending it will drop the oldest messages, or the endpoint will refuse it. Shorten the message or switch to a model with more room
C6	streamed turn	PASS	the turn reaches a settled, readable state	settled
C7	reasoning	PASS	no reasoning markup reaches any visible text	no reasoning tags in visible text
C8	reasoning	PASS	the answer is not swallowed by the reasoning channel	answer=82 chars, reasoning=131 chars, reasoningVisible=false
C9	usage	PASS	token usage is shown only where the endpoint reported it	usage line present=true expected=true
C10	reasoning	PASS	the thinking block toggles, and its hidden state follows aria-expanded	first expanded=false then=true hidden=false summary="Thought process"
C22	reading surface	PASS	the rendered answer has a type hierarchy a reader can use	h1=24px h2=18px h3=16px h4=15px | body=15px | distinct=4 monotonic=true outranksBody=true
C23	reading surface	PASS	wrapped prose reflows to the reader's column, not the model's	9 paragraphs; white-space=normal; 0 still carry a source newline
C24	reading surface	PASS	nothing in the answer makes the reading column scroll sideways	column 688px wide, content 688px
C11	tool calls	PASS	a native tool call is rendered as a call	cards=[awaitingResult,awaitingResult]
C12	tool calls	PASS	no reasoning markup in the tool turn either	no reasoning tags in visible text
C13	no credential	PASS	an endpoint with no API key is a working state, with no error and no warning	usable=true check=satisfiedWithoutCredential complaintOnScreen=false
C14	error state	PASS	a turn that could not run says so, in Vela's own words	Could not reach the endpoint Vela could not open a connection. http://127.0.0.1:36475/v1/chat/completions Try again
C15	error state	PASS	the failed turn is settled, not a stuck spinner	settled
C16	streaming	PASS	the transcript shows a partial turn while it is still streaming	answer=79 reasoning=129
C17	reasoning	PASS	no reasoning markup mid-stream, when a tag may be split across frames	no reasoning tags in visible text
C18	streaming	PASS	the turn is painted incrementally, not in one lump	25 paints, 24 growing, spread over 1476 ms
C19	console	PASS	zero console errors and zero uncaught exceptions	clean
C20	network	PASS	the browser never requested the model endpoint	none of 306 requests went to http://127.0.0.1:36475
C21	network	PASS	the browser never requested the slow endpoint either	none of 306 requests went to http://127.0.0.1:44089
